,id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,result,total_goals,home_shoton,away_shoton,home_shotoff,away_shotoff,home_fouls,away_fouls,home_corner,away_corner,home_ycard,away_ycard,home_rcard,away_rcard,home_cross,away_cross,home_possession,away_possession,home_elo,away_elo,pr_perc_home_win,pr_perc_draw,pr_perc_away_win,goals_diff,home_strength,away_strength,away_elo_rate,away_ma_goals,away_ca_goals,away_ma_pow2_goals,away_ca_pow2_goals,away_ma_sqrt_goals,away_ca_sqrt_goals,away_ma_shotons,away_ca_shotons,away_ma_pow2_shotons,away_ca_pow2_shotons,away_ma_sqrt_shotons,away_ca_sqrt_shotons,away_ma_shotoffs,away_ca_shotoffs,away_ma_pow2_shotoffs,away_ca_pow2_shotoffs,away_ma_sqrt_shotoffs,away_ca_sqrt_shotoffs,away_ma_fouls,away_ca_fouls,away_ma_pow2_fouls,away_ca_pow2_fouls,away_ma_sqrt_fouls,away_ca_sqrt_fouls,away_ma_corners,away_ca_corners,away_ma_pow2_corners,away_ca_pow2_corners,away_ma_sqrt_corners,away_ca_sqrt_corners,away_ma_ycards,away_ca_ycards,away_ma_pow2_ycards,away_ca_pow2_ycards,away_ma_sqrt_ycards,away_ca_sqrt_ycards,away_ma_rcards,away_ca_rcards,away_ma_pow2_rcards,away_ca_pow2_rcards,away_ma_sqrt_rcards,away_ca_sqrt_rcards,away_ma_crosses,away_ca_crosses,away_ma_pow2_crosses,away_ca_pow2_crosses,away_ma_sqrt_crosses,away_ca_sqrt_crosses,away_ma_possessions,away_ca_possessions,away_ma_pow2_possessions,away_ca_pow2_possessions,away_ma_sqrt_possessions,away_ca_sqrt_possessions,home_elo_rate,home_ma_goals,home_ca_goals,home_ma_pow2_goals,home_ca_pow2_goals,home_ma_sqrt_goals,home_ca_sqrt_goals,home_ma_shotons,home_ca_shotons,home_ma_pow2_shotons,home_ca_pow2_shotons,home_ma_sqrt_shotons,home_ca_sqrt_shotons,home_ma_shotoffs,home_ca_shotoffs,home_ma_pow2_shotoffs,home_ca_pow2_shotoffs,home_ma_sqrt_shotoffs,home_ca_sqrt_shotoffs,home_ma_fouls,home_ca_fouls,home_ma_pow2_fouls,home_ca_pow2_fouls,home_ma_sqrt_fouls,home_ca_sqrt_fouls,home_ma_corners,home_ca_corners,home_ma_pow2_corners,home_ca_pow2_corners,home_ma_sqrt_corners,home_ca_sqrt_corners,home_ma_ycards,home_ca_ycards,home_ma_pow2_ycards,home_ca_pow2_ycards,home_ma_sqrt_ycards,home_ca_sqrt_ycards,home_ma_rcards,home_ca_rcards,home_ma_pow2_rcards,home_ca_pow2_rcards,home_ma_sqrt_rcards,home_ca_sqrt_rcards,home_ma_crosses,home_ca_crosses,home_ma_pow2_crosses,home_ca_pow2_crosses,home_ma_sqrt_crosses,home_ca_sqrt_crosses,home_ma_possessions,home_ca_possessions,home_ma_pow2_possessions,home_ca_pow2_possessions,home_ma_sqrt_possessions,home_ca_sqrt_possessions
45,7854,7809,7809,2008/2009,14,2008-11-22 00:00:00,499434,9823,8398,4,1,1.17,7.0,15.0,1.15,6.8,12.0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,50.0,1053,964,0.0,0.0,0.0,0,3.0,1.0,976.0,0.4,0.4,0.16000000000000003,0.16000000000000003,0.6324555320336759,0.6324555320336759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,3.24,3.24,1.3416407864998738,1.3416407864998738,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,2500.0,2500.0,7.0710678118654755,7.0710678118654755,1041.0,2.2,2.2,4.840000000000001,4.840000000000001,1.4832396974191326,1.4832396974191326,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,3.6,3.6,12.96,12.96,1.8973665961010275,1.8973665961010275,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,2.8,2.8,7.839999999999999,7.839999999999999,1.6733200530681511,1.6733200530681511,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,46.3,46.3,2143.6899999999996,2143.6899999999996,6.8044103344816,6.8044103344816
46,7855,7809,7809,2008/2009,14,2008-11-23 00:00:00,499435,9790,8697,2,1,2.38,3.4,2.88,2.35,3.25,2.75,1,3,9,6,2,10,18,21,3,6,3,2,0,0,5,15,37.0,63.0,1017,999,0.0,0.0,0.0,0,2.0,2.0,1015.0,2.0,2.0,4.0,4.0,1.4142135623730951,1.4142135623730951,5.0,5.0,25.0,25.0,2.23606797749979,2.23606797749979,6.6,6.6,43.559999999999995,43.559999999999995,2.569046515733026,2.569046515733026,10.4,10.4,108.16000000000001,108.16000000000001,3.22490309931942,3.22490309931942,3.6,3.6,12.96,12.96,1.8973665961010275,1.8973665961010275,1.4,1.4,1.9599999999999997,1.9599999999999997,1.1832159566199232,1.1832159566199232,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,11.8,11.8,139.24,139.24,3.4351128074635335,3.4351128074635335,54.416,54.416,2961.1010559999995,2961.1010559999995,7.376720138381285,7.376720138381285,1001.0,1.4,1.4,1.9599999999999997,1.9599999999999997,1.1832159566199232,1.1832159566199232,0.4,0.4,0.16000000000000003,0.16000000000000003,0.6324555320336759,0.6324555320336759,0.6,0.6,0.36,0.36,0.7745966692414834,0.7745966692414834,2.4,2.4,5.76,5.76,1.5491933384829668,1.5491933384829668,0.4,0.4,0.16000000000000003,0.16000000000000003,0.6324555320336759,0.6324555320336759,2.0,2.0,4.0,4.0,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,4.840000000000001,4.840000000000001,1.4832396974191326,1.4832396974191326,49.55,49.55,2455.2025,2455.2025,7.039176088151226,7.039176088151226
47,7856,7809,7809,2008/2009,14,2008-11-22 00:00:00,499436,10189,9788,3,1,1.36,4.75,9.0,1.35,4.4,7.6,1,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,50.0,50.0,1025,962,0.0,0.0,0.0,0,3.0,1.0,975.0,1.2,1.2,1.44,1.44,1.0954451150103321,1.0954451150103321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,4.840000000000001,4.840000000000001,1.4832396974191326,1.4832396974191326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,2500.0,2500.0,7.0710678118654755,7.0710678118654755,1012.0,2.0,2.0,4.0,4.0,1.4142135623730951,1.4142135623730951,1.4,1.4,1.9599999999999997,1.9599999999999997,1.1832159566199232,1.1832159566199232,1.0,1.0,1.0,1.0,1.0,1.0,3.8,3.8,14.44,14.44,1.9493588689617927,1.9493588689617927,3.6,3.6,12.96,12.96,1.8973665961010275,1.8973665961010275,2.2,2.2,4.840000000000001,4.840000000000001,1.4832396974191326,1.4832396974191326,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,2.6,2.6,6.760000000000001,6.760000000000001,1.61245154965971,1.61245154965971,53.7,53.7,2883.6900000000005,2883.6900000000005,7.328028384224504,7.328028384224504
48,7857,7809,7809,2008/2009,14,2008-11-22 00:00:00,499437,8721,10269,4,1,2.0,3.4,3.75,1.9,3.2,3.85,1,5,6,0,10,7,17,19,7,4,4,2,0,0,11,9,61.0,39.0,1025,968,0.0,0.0,0.0,0,2.0,2.0,982.0,1.2,1.2,1.44,1.44,1.0954451150103321,1.0954451150103321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,2500.0,2500.0,7.0710678118654755,7.0710678118654755,1011.0,2.0,2.0,4.0,4.0,1.4142135623730951,1.4142135623730951,0.6,0.6,0.36,0.36,0.7745966692414834,0.7745966692414834,1.0,1.0,1.0,1.0,1.0,1.0,2.4,2.4,5.76,5.76,1.5491933384829668,1.5491933384829668,0.8,0.8,0.6400000000000001,0.6400000000000001,0.8944271909999159,0.8944271909999159,0.6,0.6,0.36,0.36,0.7745966692414834,0.7745966692414834,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,4.840000000000001,4.840000000000001,1.4832396974191326,1.4832396974191326,46.4,46.4,2152.96,2152.96,6.81175454637056,6.81175454637056
49,7858,7809,7809,2008/2009,14,2008-11-22 00:00:00,499438,9810,9904,4,0,2.25,3.4,3.1,2.35,3.15,2.8,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,50.0,50.0,987,958,0.0,0.0,0.0,0,1.0,1.0,973.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.6400000000000001,0.6400000000000001,0.8944271909999159,0.8944271909999159,2.0,2.0,4.0,4.0,1.4142135623730951,1.4142135623730951,7.0,7.0,49.0,49.0,2.6457513110645907,2.6457513110645907,1.6,1.6,2.5600000000000005,2.5600000000000005,1.2649110640673518,1.2649110640673518,1.6,1.6,2.5600000000000005,2.5600000000000005,1.2649110640673518,1.2649110640673518,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,4.0,4.0,16.0,16.0,2.0,2.0,49.4,49.4,2440.3599999999997,2440.3599999999997,7.0285133563222315,7.0285133563222315,972.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.44,1.44,1.0954451150103321,1.0954451150103321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,2500.0,2500.0,7.0710678118654755,7.0710678118654755
50,7859,7809,7809,2008/2009,14,2008-11-22 00:00:00,499439,9912,8178,2,1,5.0,3.6,1.7,5.0,3.4,1.65,1,3,0,0,0,0,0,0,0,0,2,1,0,1,0,0,50.0,50.0,988,1013,0.0,0.0,0.0,0,1.0,3.0,1031.0,2.2,2.2,4.840000000000001,4.840000000000001,1.4832396974191326,1.4832396974191326,1.8,1.8,3.24,3.24,1.3416407864998738,1.3416407864998738,3.2,3.2,10.240000000000002,10.240000000000002,1.7888543819998317,1.7888543819998317,5.4,5.4,29.160000000000004,29.160000000000004,2.32379000772445,2.32379000772445,2.6,2.6,6.760000000000001,6.760000000000001,1.61245154965971,1.61245154965971,1.6,1.6,2.5600000000000005,2.5600000000000005,1.2649110640673518,1.2649110640673518,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,8.2,8.2,67.24,67.24,2.8635642126552705,2.8635642126552705,53.7,53.7,2883.6900000000005,2883.6900000000005,7.328028384224504,7.328028384224504,970.0,0.8,0.8,0.6400000000000001,0.6400000000000001,0.8944271909999159,0.8944271909999159,1.2,1.2,1.44,1.44,1.0954451150103321,1.0954451150103321,1.0,1.0,1.0,1.0,1.0,1.0,2.6,2.6,6.760000000000001,6.760000000000001,1.61245154965971,1.61245154965971,0.8,0.8,0.6400000000000001,0.6400000000000001,0.8944271909999159,0.8944271909999159,3.4,3.4,11.559999999999999,11.559999999999999,1.8439088914585775,1.8439088914585775,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,3.2,3.2,10.240000000000002,10.240000000000002,1.7888543819998317,1.7888543819998317,50.0,50.0,2500.0,2500.0,7.0710678118654755,7.0710678118654755
51,7860,7809,7809,2008/2009,14,2008-11-22 00:00:00,499440,8722,8226,1,3,3.0,3.5,2.25,3.15,3.25,2.1,-1,4,0,0,0,0,0,0,0,0,3,4,1,1,0,0,50.0,50.0,974,1055,0.0,0.0,0.0,0,1.0,0.0,1042.0,2.6,2.6,6.760000000000001,6.760000000000001,1.61245154965971,1.61245154965971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,5.76,5.76,1.5491933384829668,1.5491933384829668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,2500.0,2500.0,7.0710678118654755,7.0710678118654755,987.0,1.4,1.4,1.9599999999999997,1.9599999999999997,1.1832159566199232,1.1832159566199232,1.4,1.4,1.9599999999999997,1.9599999999999997,1.1832159566199232,1.1832159566199232,1.4,1.4,1.9599999999999997,1.9599999999999997,1.1832159566199232,1.1832159566199232,7.2,7.2,51.84,51.84,2.6832815729997477,2.6832815729997477,2.4,2.4,5.76,5.76,1.5491933384829668,1.5491933384829668,3.2,3.2,10.240000000000002,10.240000000000002,1.7888543819998317,1.7888543819998317,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.4,19.360000000000003,19.360000000000003,2.0976176963403033,2.0976176963403033,48.934000000000005,48.934000000000005,2394.5363560000005,2394.5363560000005,6.995284125752149,6.995284125752149
52,7861,7809,7809,2008/2009,14,2008-11-22 00:00:00,499441,9911,8177,2,3,2.62,3.3,2.62,2.5,3.2,2.5,-1,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,50.0,50.0,962,1054,0.0,0.0,0.0,0,1.0,2.0,1042.0,1.8,1.8,3.24,3.24,1.3416407864998738,1.3416407864998738,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,0.4,0.4,0.16000000000000003,0.16000000000000003,0.6324555320336759,0.6324555320336759,2.0,2.0,4.0,4.0,1.4142135623730951,1.4142135623730951,0.6,0.6,0.36,0.36,0.7745966692414834,0.7745966692414834,2.0,2.0,4.0,4.0,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,5.76,5.76,1.5491933384829668,1.5491933384829668,47.55,47.55,2261.0024999999996,2261.0024999999996,6.895650803223725,6.895650803223725,974.0,0.6,0.6,0.36,0.36,0.7745966692414834,0.7745966692414834,1.8,1.8,3.24,3.24,1.3416407864998738,1.3416407864998738,2.6,2.6,6.760000000000001,6.760000000000001,1.61245154965971,1.61245154965971,8.4,8.4,70.56,70.56,2.898275349237888,2.898275349237888,4.2,4.2,17.64,17.64,2.04939015319192,2.04939015319192,3.0,3.0,9.0,9.0,1.7320508075688772,1.7320508075688772,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,4.6,4.6,21.159999999999997,21.159999999999997,2.1447610589527217,2.1447610589527217,46.12,46.12,2127.0544,2127.0544,6.791170738539858,6.791170738539858
53,7862,7809,7809,2008/2009,14,2008-11-21 00:00:00,499442,8295,9789,0,1,3.1,3.3,2.3,3.15,3.15,2.15,-1,1,8,4,7,5,9,14,7,4,1,0,0,0,9,9,49.67,50.33,958,1038,0.0,0.0,0.0,0,2.0,3.0,1025.0,2.0,2.0,4.0,4.0,1.4142135623730951,1.4142135623730951,1.2,1.2,1.44,1.44,1.0954451150103321,1.0954451150103321,3.0,3.0,9.0,9.0,1.7320508075688772,1.7320508075688772,5.8,5.8,33.64,33.64,2.4083189157584592,2.4083189157584592,1.8,1.8,3.24,3.24,1.3416407864998738,1.3416407864998738,1.4,1.4,1.9599999999999997,1.9599999999999997,1.1832159566199232,1.1832159566199232,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,6.6,6.6,43.559999999999995,43.559999999999995,2.569046515733026,2.569046515733026,53.92999999999999,53.92999999999999,2908.444899999999,2908.444899999999,7.343704787094862,7.343704787094862,971.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,4.840000000000001,4.840000000000001,1.4832396974191326,1.4832396974191326,0.2,0.2,0.04000000000000001,0.04000000000000001,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,2500.0,2500.0,7.0710678118654755,7.0710678118654755
54,7863,7809,7809,2008/2009,15,2008-11-29 00:00:00,499443,8178,9823,0,2,2.75,3.3,2.5,2.6,3.25,2.45,-1,2,9,4,6,6,19,13,7,7,2,2,0,0,16,24,55.5,44.5,1000,1066,0.0,0.0,0.0,0,3.0,3.0,1053.0,2.6,2.5,6.760000000000001,6.25,1.61245154965971,1.5811388300841898,0.2,0.16666666666666666,0.04000000000000001,0.027777777777777776,0.4472135954999579,0.408248290463863,0.2,0.16666666666666666,0.04000000000000001,0.027777777777777776,0.4472135954999579,0.408248290463863,3.6,3.0,12.96,9.0,1.8973665961010275,1.7320508075688772,0.2,0.16666666666666666,0.04000000000000001,0.027777777777777776,0.4472135954999579,0.408248290463863,2.6,2.3333333333333335,6.760000000000001,5.4444444444444455,1.61245154965971,1.5275252316519468,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.04000000000000001,0.027777777777777776,0.4472135954999579,0.408248290463863,46.3,46.916666666666664,2143.6899999999996,2201.173611111111,6.8044103344816,6.849574196011505,1013.0,2.0,2.0,4.0,4.0,1.4142135623730951,1.4142135623730951,1.8,1.5,3.24,2.25,1.3416407864998738,1.224744871391589,3.2,2.6666666666666665,10.240000000000002,7.111111111111111,1.7888543819998317,1.632993161855452,5.4,4.5,29.160000000000004,20.25,2.32379000772445,2.1213203435596424,2.6,2.1666666666666665,6.760000000000001,4.694444444444444,1.61245154965971,1.4719601443879744,1.2,1.5,1.44,2.25,1.0954451150103321,1.224744871391589,0.4,0.3333333333333333,0.16000000000000003,0.1111111111111111,0.6324555320336759,0.5773502691896257,8.2,6.833333333333333,67.24,46.69444444444444,2.8635642126552705,2.614064523559687,53.7,53.083333333333336,2883.6900000000005,2817.840277777778,7.328028384224504,7.285830998131464
